"","text"
"2853","luv      product"
"2854","     im   paranoid  person      hooked   idea  cloud based home control  yes  love  echo stuff    create  isolated vlan   home network  run  devices including  cheap ones  require   sign    questionable website  download  app  carful   people  entering  wifi password   site thats  vetted   location   app askes      try  stay  devices    directly   alexa hub   thirdparty app amazon   control   types  devices     sensitive information  handled"
"2855"," product"
"2856"," helpful  playing music setting alarms  talking      lonely"
"2857","easy  set   control kasa smart plugs      kids  figured stuff        alexa  telling jokes  singing  alexa app controls  custom spark plug   cloud cam"
"2858"," love  alexa   house  favorite features   timers alarms  music especially  library  sleep sounds    product   gift   kids   love       reading time  timing  minutes  itthe     dont        plugged    outlet  function  ifs ands  buts       minorly inconvenient     move       purchase  lol"
"2859","alarmbed time story universal"
"2860"," am  love  alexa"
"2861","  easy  set "
"2862",NA
"2863","   anticipated    awesome"
"2864"," product"
"2865","  "
"2866","    respond    comands  product"
"2867"," volume   low"
"2868","   am liking    am probably  using     capasity"
"2869","   friend im  little   times ive       alexa  google home       super amazing useful tool     play sleep sounds  sleep      amazon audible books set alarms reminders receive notifications play games     tell   short story lol  pretty fun    people complained   speaker im    im       concept house   yourself    blast music     blast   loud    rent      bedroom  perfect  dont      speaker love   "
"2870","wish volume  capable   louder"
"2871"," love "
"2872"," purchase  "
"2873"," love     dots   echo   medium size    loud   external speakers     external   dots"
"2874","  love  dots  awesome   connects      youve read   reviews   definitely lower  volume  im    connected   speaker   device        stand   volume   ok definitely    tall echo   dots dont pick  voice     tall echostill totally love    recommend "
"2875"," okay   dropping wifi"
"2876","kids love   love "
"2877",NA
"2878","love  echo dot easy    set "
"2879","love        echos"
"2880","excellent product "
"2881"," love  able  control lights doors  music"
"2882","fun  interact "
"2883"," satisfied   product"
"2884","   echos      barn  idea    am    horse    news flashes   music"
"2885"," bought    healing    play continuous spa  music  alexa   type  music   device   deliver quality sound  sounds muffled   didnt     buy speakers "
"2886","   music    am"
"2887","hard  hear   blue tooth     speaker"
"2888","    expected     speaker"
"2889"," love            soon"
"2890","      echo"
"2891","   nd echo dot                 bedroom   par     blue tooth speaker   nite    sleep  sounds   thunderstorm  provided   echo dot   am planning    dot   bedroom lamps    receive  smart plugs   "
"2892","daughter   white boombox      yr   decided   echo dot    request  white bt  speaker   loved  gift  nice option      internet"
"2893","cheap  cheap sound"
"2894","  pretty cool"
"2895"," times alexa   little  thick    "
"2896","love  dont            dont    didnt    amazon prime day"
"2897"," dated news"
"2898","   champ"
"2899"," sound  alarm clock plays  music   else      oh yeah      "
"2900","love      cell phone  call echo  dot     echo  dot  intercoms"
"2901","love itjust      own"
"2902"," price   love  echo dot"
"2903","excellent bought   yesterday"
"2904"," "
"2905","love   daughter enjoys telling alexa    haha"
"2906","purchased    discount  prime day  insert   portable bluetooth speaker  specifically    echo dot   love     bring alexa  onto  patio         music    rd echo product   love "
"2907","   third  love "
"2908"," ease  installing"
"2909","un excelente equipo inteligente al estar conectado al internet nos provee de múltiples funciones tales como el tiempohorainformación de cualquier estudio que estés realizando atrás vez del internet"
"2910","  price  product  nice quality     nice features  definitely  complaints   reason       stars    echo dot                buyer error   didnt    product    plugged    times      dont      stand  device   speaker    loud     buying    bluetooth speaker dont lastly im   echo dot    lot   havent  figured               unnecessary device  own plus setting    awful   definitely save  money  buy  nicer    actually alexa"
"2911"," love  product             itsuch  set  timer  reminder play music  games  dont       enjoyment       purchase        difficult  set   directions   sound  simple       forgot  step  five  six    ready  send  backthe app  extremely slow    hours     set   depending        using       ok item"
"2912","love  echo dot  amaxing"
"2913","      listening  podcasts     set   greeting   morning  tell  whats       dont   getting   recognize  radio station    listen    finally          bugs"
"2914","    sister  echo    slightly  audio fidelity   lower price  amazon prime dayused     add alexa   additional "
"2915","      guy "
"2916"," product  understands  accent"
"2917","love  cant stop using "
"2918","   availability   instant music throughout  house"
"2919",NA
"2920"," handy   kitchen sets timer    extra help  setting oven temps"
"2921","cool little speakeri love  alarms  connected    speakers   sounds "
"2922","    tool helping  information"
"2923"," twice  "
"2924","awesome piece  technology   simplified  life  purchase"
"2925"," jumped   bandwagon  purchasing  echo   feel     struggle getting connected    days   device  sharing news  weather          tapped    options   testing  "
"2926","love alexa love  echo dot    trouble   speakers  using  intercom"
"2927","love          correct smart linksplug  connect  "
"2928"," pretty "
"2929"," learning "
"2930","  love  echo dot    questions answered    play  music    "
"2931","usual reliable alexa"
"2932","speaker    qualty"
"2933"," device   interact   home filled  apple devices   disappointing"
"2934","  echo           "
"2935","love     handy  easy       classroom         "
"2936"," pleased"
"2937","primarily  music   bedroom   wish  speaker   fidelity"
"2938","nice"
"2939","music weather time"
"2940"," love "
"2941","   happy  speaker isnt     reason  lot  times   play music   start    weird noise   stop  son   google home     "
"2942"," impressed"
"2943","    "
"2944"," takes    learn    im  learning"
"2945","alexa  phenomenal"
"2946","       doesnt   play music answer stupid questions finally   able  hook   thermostat     price  dropping   rock"
"2947"," echo dot nd generation smart speaker   compound  size    projects   sound     port     connect  external speaker    projection  sound     size    awkward   doesnt    lot  space      alexa app     size    college students  live  dorm    limited spacing"
"2948","   echo dot      home    downstairs  control lighting        deck  stream music   bluetooth speaker       "
